Laboratory_ id,Sample_id,Lake,Fish_species_common_name,Fish_species_latin_name,Site_name_or_number,Date_fish_sampled,Gutted_ashed_fish_mass_in_grams,Gutted_fresh_fish_mass_in_grams,Ratio_of_wet_fish_mass_to_ashed_fish_mass ,Li_mg_kg_quantitative,Be_<,Be_mg_kg_quantitative,Na_ICPOES_mg_kg_quantitative,Mg_ICPOES_mg_kg_quantitative,Al_<,Al_mg_kg_quantitative,P_ICPOES_mg_kg_quantitative,S_mg_kg_semi_quantitative,K_ICPOES_mg_kg_quantitative,Ca_ICPOES_mg_kg_quantitative,Ti_mg_kg_quantitative,Mn_mg_kg_quantitative,Fe_ICPOES_mg_kg_quantitative,Co_<,Co_mg_kg_quantitative,Ni_<,Ni_mg_kg_quantitative,Cu_mg_kg_quantitative,Zn_mg_kg_quantitative,Se_<,Se_mg_kg_quantitative,Br_<,Br_mg_kg_semi_quantitative,Rb_mg_kg_quantitative,Sr_mg_kg_quantitative,Y_mg_kg_semi_quantitative,Zr_<,Zr_mg_kg_semi_quantitative,Nb_<,Nb_mg_kg_semi_quantitative,Mo_<,Mo_mg_kg_quantitative,Rh_<,Rh_mg_kg_semi_quantitative,Pd_<,Pd_mg_kg_semi_quantitative,Cd_mg_kg_quantitative,Sn_<,Sn_mg_kg_semi_quantitative,Sb_<,Sb_mg_kg_quantitative,Cs_mg_kg_quantitative,Ba_mg_kg_quantitative,La_<,La_mg_kg_quantitative,Ce_<,Ce_mg_kg_quantitative,Pr_<,Pr_mg_kg_quantitative,Nd_<,Nd_mg_kg_semi_quantitative,Sm_<,Sm_mg_kg_semi_quantitative,Eu_<,Eu_mg_kg_semi_quantitative,Gd_<,Gd_mg_kg_semi_quantitative,Tb_<,Tb_mg_kg_semi_quantitative,Dy_<,Dy_mg_kg_semi_quantitative,Ho_<,Ho_mg_kg_semi_quantitative,Er_<,Er_mg_kg_semi_quantitative,W_<,W_mg_kg_quantitative,Tl_<,Tl_mg_kg_semi_quantitative,Pb_mg_kg_quantitative,U_<,U_mg_kg_quantitative
el32419x10,RCK35,Bassenthwaite Lake,Roach,Rutilus rutilus,Site 2,03/09/2012,1.22,37.33,30.6,4.44E-02,<,7.52E-04,4.25E+02,3.23E+02,,6.44E+00,5.59E+03,2.55E+02,2.29E+03,8.73E+03,1.36E+01,1.20E+01,1.62E+01,,5.23E-03,<,6.54E-05,3.16E-01,4.48E+01,,2.95E-02,,1.19E+00,4.44E+00,1.73E+01,1.44E-03,,1.38E-03,,1.31E-04,,9.09E-03,,9.83E-05,,3.28E-04,5.16E-02,,5.41E-03,<,2.29E-04,2.80E-02,2.04E+00,,4.71E-03,,8.46E-03,,1.24E-03,,2.82E-03,,6.55E-04,,3.93E-04,,9.83E-04,,3.60E-04,,7.54E-04,,3.60E-04,,3.60E-04,,1.60E-03,,1.08E-03,7.16E-02,,5.56E-04
el32508x10,RCK36,Windermere North Basin,Roach,Rutilus rutilus,Whitecross Bay,17/09/2012,5.83,159.2,27.3,9.41E-01,<,8.42E-04,4.21E+02,3.66E+02,,7.25E-01,6.37E+03,3.90E+02,2.39E+03,1.00E+04,1.58E+01,2.64E+00,1.11E+01,,1.68E-03,<,7.32E-05,1.12E+00,3.11E+01,,3.37E-02,,5.09E-01,3.16E+00,1.27E+01,4.40E-04,<,1.06E-03,,7.34E-05,,1.12E-02,,3.67E-05,<,3.66E-05,7.51E-03,,9.21E-03,,3.66E-04,1.68E-02,2.55E+00,,1.10E-03,,1.32E-03,,2.20E-04,,5.14E-04,,2.94E-04,,7.34E-05,,1.10E-04,<,3.66E-05,,7.34E-05,,3.67E-05,,3.67E-05,,1.03E-03,,1.50E-03,3.84E-02,,2.93E-04
el32509x10,RCK37,Windermere North Basin,Roach,Rutilus rutilus,Whitecross Bay,17/09/2012,7.06,157.3,22.3,1.72E-01,<,1.03E-03,5.21E+02,3.98E+02,,5.30E-01,7.72E+03,4.34E+02,3.26E+03,1.30E+04,1.90E+01,2.95E+00,1.18E+01,<,8.98E-05,<,8.98E-05,4.33E-01,2.92E+01,,3.75E-02,,8.83E-01,4.62E+00,1.90E+01,4.47E-04,<,1.29E-03,,4.47E-05,,9.43E-03,,4.47E-05,<,4.49E-05,7.85E-03,,1.06E-02,,5.84E-04,3.33E-02,2.79E+00,,1.30E-03,,1.26E-03,,2.69E-04,,3.58E-04,,1.34E-04,,1.79E-04,,8.94E-05,<,4.49E-05,,8.94E-05,,4.47E-05,<,4.49E-05,,1.44E-03,,2.37E-03,3.71E-02,,5.84E-04
el32516x10,RCK38,Windermere North Basin,Roach,Rutilus rutilus,Whitecross Bay,17/09/2012,10.62,240.1,22.6,8.09E-01,<,1.02E-03,5.97E+02,4.10E+02,,3.98E-01,7.96E+03,4.09E+02,2.96E+03,1.34E+04,2.04E+01,3.83E+00,1.04E+01,<,8.85E-05,<,8.85E-05,5.88E-01,3.16E+01,,2.86E-02,,8.62E-01,2.66E+00,1.51E+01,4.40E-04,,5.28E-04,,8.80E-05,,1.07E-02,,8.80E-05,<,4.42E-05,8.40E-03,,9.77E-03,,3.10E-04,2.10E-02,3.07E+00,,8.85E-04,,9.29E-04,,2.65E-04,,4.84E-04,,1.32E-04,,2.20E-04,,1.76E-04,,1.76E-04,,1.76E-04,,1.76E-04,,2.20E-04,,7.52E-04,,1.01E-03,4.15E-02,,4.42E-04
el32514x10,RCK39,Windermere North Basin,Roach,Rutilus rutilus,Whitecross Bay,17/09/2012,1.27,35.8,28.2,1.11E+00,<,8.16E-04,3.94E+02,3.45E+02,,9.36E-01,5.78E+03,3.24E+02,2.23E+03,9.04E+03,1.49E+01,2.22E+00,1.31E+01,,4.26E-04,<,7.09E-05,4.68E-01,3.83E+01,,3.03E-02,,4.92E-01,5.46E+00,8.30E+00,6.68E-04,,3.17E-04,,3.52E-05,,9.65E-03,<,3.55E-05,,3.52E-05,1.17E-02,,5.59E-03,,7.45E-04,2.12E-02,1.47E+00,,1.45E-03,,1.42E-03,,2.48E-04,,5.98E-04,<,3.55E-05,,7.04E-05,,2.11E-04,,3.52E-05,,1.06E-04,<,3.55E-05,,3.52E-05,<,4.61E-04,,1.13E-03,5.89E-02,,1.77E-04
el32515x10,RCK40,Windermere North Basin,Roach,Rutilus rutilus,Whitecross Bay,17/09/2012,1.21,29.9,24.7,5.91E-01,<,9.31E-04,4.37E+02,4.00E+02,,1.51E+00,6.88E+03,4.09E+02,2.71E+03,1.08E+04,1.69E+01,2.99E+00,1.29E+01,,1.42E-03,,7.69E-02,4.29E-01,3.55E+01,,3.61E-02,,7.24E-01,4.13E+00,1.05E+01,1.21E-03,,1.78E-03,,8.09E-05,,1.08E-02,<,4.05E-05,,1.21E-04,1.75E-02,,6.27E-03,,8.09E-04,1.49E-02,2.02E+00,,2.95E-03,,3.20E-03,,8.90E-04,,1.58E-03,,3.64E-04,,4.04E-04,,6.47E-04,,6.06E-04,,9.70E-04,,6.06E-04,,5.66E-04,<,5.26E-04,,2.39E-03,4.17E-02,,2.83E-04
el32517x10,RCK41,Windermere North Basin,Roach,Rutilus rutilus,Rayrigg Bay,17/09/2012,2.67,71.6,26.8,6.86E-01,<,8.58E-04,4.85E+02,3.84E+02,,6.86E-01,6.64E+03,3.51E+02,2.35E+03,1.09E+04,1.66E+01,2.36E+00,8.47E+00,<,7.46E-05,<,7.46E-05,5.67E-01,3.11E+01,,2.72E-02,,9.46E-01,5.97E+00,1.15E+01,7.04E-04,,2.11E-03,,7.41E-05,,1.04E-02,<,3.73E-05,<,3.73E-05,9.59E-03,,5.97E-03,,7.09E-04,3.25E-02,2.05E+00,,1.64E-03,,1.57E-03,,4.10E-04,,8.52E-04,,1.48E-04,,1.85E-04,,3.34E-04,,2.59E-04,,2.97E-04,,2.22E-04,,2.22E-04,,7.83E-04,,1.67E-03,3.26E-02,,2.61E-04
el32512x10,RCK42,Windermere North Basin,Roach,Rutilus rutilus,Whitecross Bay,17/09/2012,5.79,139.2,24.0,6.82E-01,<,9.57E-04,6.03E+02,3.70E+02,,4.99E+00,7.07E+03,2.57E+02,2.75E+03,1.17E+04,1.76E+01,3.04E+00,1.86E+01,,2.50E-04,<,8.32E-05,6.37E-01,3.12E+01,,3.13E-02,,1.28E+00,5.08E+00,1.76E+01,1.42E-03,,5.84E-04,,4.17E-05,,9.99E-03,<,4.16E-05,,1.25E-04,8.07E-03,,8.05E-03,,7.07E-04,2.56E-02,2.01E+00,,2.79E-03,,4.87E-03,,7.07E-04,,1.63E-03,,5.01E-04,,1.25E-04,,5.84E-04,,1.25E-04,,4.17E-04,,8.34E-05,,1.67E-04,,8.32E-04,,6.26E-04,2.94E-02,,2.50E-04
el32511x10,RCK43,Windermere North Basin,Roach,Rutilus rutilus,Whitecross Bay,17/09/2012,5.41,136.3,25.2,7.50E-01,<,9.13E-04,4.84E+02,3.66E+02,,5.52E-01,6.95E+03,2.33E+02,2.79E+03,1.14E+04,1.76E+01,2.03E+00,9.45E+00,,5.16E-04,<,7.94E-05,5.04E-01,3.04E+01,,2.29E-02,,8.88E-01,3.27E+00,1.11E+01,7.95E-04,<,1.15E-03,<,3.61E-05,,9.05E-03,,7.95E-05,,3.98E-05,1.14E-02,,5.21E-03,,9.53E-04,2.02E-02,1.94E+00,,1.31E-03,,1.35E-03,,3.57E-04,,4.37E-04,,1.19E-04,,2.39E-04,,2.39E-04,,1.59E-04,,2.39E-04,,1.19E-04,,1.99E-04,,6.75E-04,,9.15E-04,2.81E-02,,3.18E-04
el32510x10,RCK44,Windermere North Basin,Roach,Rutilus rutilus,Whitecross Bay,17/09/2012,1.74,47.9,27.5,7.48E-01,<,8.35E-04,4.03E+02,3.48E+02,,1.65E+00,6.10E+03,3.11E+02,2.15E+03,9.77E+03,1.52E+01,2.37E+00,1.05E+01,<,7.27E-05,,4.32E-03,6.76E-01,3.41E+01,,3.04E-02,,1.10E+00,4.58E+00,9.48E+00,5.45E-04,<,1.05E-03,,3.64E-05,,9.12E-03,,3.64E-05,,3.64E-05,8.39E-03,,8.76E-03,,6.90E-04,1.83E-02,1.86E+00,,1.82E-03,,1.93E-03,,3.27E-04,,7.27E-04,,1.45E-04,,1.09E-04,,2.18E-04,,3.64E-05,,1.45E-04,,3.64E-05,,3.64E-05,,5.45E-04,,2.62E-03,3.63E-02,,4.00E-04
