0.39 0.47 0.8875 2.66 7.3725
4.298 4.725 8.102 8.195 5.905
2.85 1.008 0.4825 0.5475 1.204
3.015 5.846667 2.93 6.615 6.8525
7.715 5.295 2.032 0.9775 0.6375
0.664 0.9425 2.5475 4.684 4.3575
8.065 8.862 7.935 6 4.574
0.865 0.584 0.855 1.4175 4.7675
5.254 6.4775 4.842 7.665 8.01
3.79 1.335 0.8466667 0.76 0.69
1.07 4.132 9.39 2.945 5.742
10.285 7.822 3.64 1.7525 0.8975
0.765 0.8566667 1.1575 2.7975 8.2675
9.94 6.54 8.4375 7.1475 8.0075
4.9325 1.8025 0.87 0.7025 1.164
3.1025 4.7 6.254 6.0675 6.54
10.11 13.1175 3.3025 1.075 0.7225
0.8625 1.362 6.1425 12.705 4.078
5.1225 5.818 6.74 3.8675 2.228
1.033333 0.7025 0.764 1.86 3.9575
8.28 7.545 5.975 8.576 13.025
10.586 3.405 1.17 0.642 0.8
1.835 3.8625 8.876 2.94 4.904
6.0925 8.08 8.034 2.7575 1.633333
1.18 1.23 2.0725 5.714 8.63
7.26 6.726 10.39 11.005 7.01
3.175 1.15 0.5425 0.53 1.2675
4.636 10.6925 3.6625 7.016 12.915
11.154 6.4775 3.7875 1.3325 1.135
0.995 2.608 8.94 3.9775 3.13
7.135 6.94 7.684 5.745 3.066
1.096667 0.8866667 1.32 0.988 2.3675
7.38 3.4525 4.275 8.366 11.195
5.905 1.294 0.6166667 0.55 0.8775
1.3375 4.1375 13.264 5.11 5.545
5.016 6.005 8.374 3.94 0.995
0.64 1.37 1.24 2.36 9.514
6.2725 4.82 9.1025 9.33 9.276
4.25 1.37 0.7533333 1.395 1.34
4.0975 5.2825 6.5625 6.326 8.92
11.764 8.0075 2.75 0.86 0.5166667
0.655 1.546 5.545 10.7725 7.84
12.8475 10.9875 10.182 4.9 2.736667
0.8 0.785 0.59 1.773333 4.3175
14.3725 4.97 8.0275 12.31 17.5025
7.9025 1.525 0.77 0.41 0.53
1.56 4.35 12.696 4.425 4.776667
6.06 8.655 5.4475 2.62 1.605
0.7133333 0.82 1.8 4.15 15.7
5.15 7.55 9.2 12.525 16.16
4.8775 1.145 0.8166667 1.145 1.33
4.692 15.075 5.165 5.492 11.53
17.295 7.4 2.97 1.45 0.765
0.76 2.23 8.69 8.2025 6.0225
4.55 10.3425 11.802 8.3525 2.37
0.71 0.505 0.685 1.613333 7.433333
17.345 4.37 7.38 12.5925 17.514
11.0175 6.46 3.476667 1.445 0.695
1.193333 9.5025 10.95 4.255 6.285
13.994 14.9825 9.0625 5.2675 1.83
1.136667 0.93 1.343333 4.1175 13.952
10.8625 4.8875 6 12.385 8.15
2.3875 1.395 1.03 0.91 3.15
12.8525 6.42 6.4325 7.28 15.2975
9.7775 5.178 3.6 1.855 1.236667
1.83 4.305 14.696 6.7475 6.105
9.262 14.19 15.2 6.916 3.165
1.945 0.8233333 1.09 1.83 4.495
11.36 3.973333 7.745 15.275 4.475
3.3 3.575 2.01 1.44 1.735
3.515 12.745 4.3 4.94 6.205
8.51 6.505 6.59 4.573333 2.56
1.255 1.085 1.39 3.07 7.01
4.745 6.09 4.32 5.685 4.7
2.356667 1.22 0.5966667 0.6 1.01
4.29 10.6 4.16 4.54 4.466667
6.865 5.465 3.545 1.63 1.64
1.18 1.71 6.25 14.62 6.93
5.546667 7.77 7.56 7.43 2.89
1.23 1.19 1.145 2.28 10.73333
5.365 4.26 5.1 5.615 5.936667
5.355 3.385 1.36 0.805 0.915
3.063333 10.485 6.63 4.42 9.435
10.295 11.33667 8.72 2.39 1.65
0.945 0.78 1.773333 6.46 9.425
5.36 10.425 15.11 8.94 6.665
4.41 1.63 0.91 0.87 1.73
7.075 6.955 6.54 7.3 11
7.64 4.62 2.235 1.07 0.61
0.675 1.12 2.215 6.523333 3.815
6.13 11.23 9 9.363333 5.135
2.61 1.715 1.35 1.27 6.766667
10.12 10.475 12.255 15.075 14.09
9.52 3.67 1.8 0.975 0.905
1.705 10.39 7.33 9.865 19.395
8.545 13.55667 13.015 4.63 1.38
0.555 0.695 1.643333 12.98 5.795
9.165 14.235 10.12 9.98 5.055
2.43 1.05 0.685 0.735 1.92
19.6 4.616667 3.575 10.255 12.91
9.065 7.665 3.66 1.15 0.88
1.095 1.815 4.765 5.93 4.855
13.025 7.74 9.91 7.586667 2.51
0.81 0.615 0.465 1.475 5.695
7.826667 4.465 5.385 14.17 10.76
5.546667 2.945 1.14 0.865 0.855
1.685 4.68 8.12 5.25 12.375
9.79 8.49 8.235 2.765 1.75
1.075 1.055 3.603333 11.81 9.685
4.45 7.25 11.35 11.19667 6.74
4.26 1.08
