"catchID","Date","Flow_Top_Calib","Min_500","Max_500"
39001,1891-01-01,108.978,74.457,158.539
39001,1891-01-02,102.175,67.813,157.226
39001,1891-01-03,94.89,65.712,153.233
39001,1891-01-04,89.122,61.168,149.808
39001,1891-01-05,85.173,56.862,146.449
39001,1891-01-06,82.589,56.162,141.706
39001,1891-01-07,81.477,57.451,136.687
39001,1891-01-08,78.184,56.117,132.539
39001,1891-01-09,74.422,53.022,128.508
39001,1891-01-10,71.226,50.264,124.784
39001,1891-01-11,68.616,47.789,121.017
39001,1891-01-12,65.768,45.557,117.269
39001,1891-01-13,63.105,43.536,113.778
39001,1891-01-14,60.712,41.692,110.563
39001,1891-01-15,58.592,40.545,107.566
39001,1891-01-16,56.816,40.053,104.808
39001,1891-01-17,55.398,38.43,101.787
39001,1891-01-18,54.342,37.088,98.811
39001,1891-01-19,53.678,36.043,96.003
39001,1891-01-20,52.783,34.864,98.373
39001,1891-01-21,53.333,34.651,90.86
39001,1891-01-22,56.184,35.853,102.525
39001,1891-01-23,62.738,39.321,124.386
39001,1891-01-24,75.399,46.482,151.546
39001,1891-01-25,83.934,48.489,209.105
39001,1891-01-26,98.82,49.623,195.813
39001,1891-01-27,123.511,51.615,236.038
39001,1891-01-28,135.135,54.64,187.739
39001,1891-01-29,128.026,57.594,191.675
39001,1891-01-30,126.72,60.735,249.903
39001,1891-01-31,139.904,63.767,297.685
39001,1891-02-01,169.521,67.373,311.229
39001,1891-02-02,211.352,70.636,333.467
39001,1891-02-03,227.793,74.461,289.569
39001,1891-02-04,213.656,78.171,264.38
39001,1891-02-05,179.769,83.013,265.825
39001,1891-02-06,151.929,79.606,245.895
39001,1891-02-07,131.823,71.985,217.831
39001,1891-02-08,116.763,60.914,211.661
39001,1891-02-09,105.09,54.87,206.63
39001,1891-02-10,95.79,51.802,196.989
39001,1891-02-11,88.21,49.987,175.741
39001,1891-02-12,81.914,48.748,172.124
39001,1891-02-13,76.595,47.573,158.241
39001,1891-02-14,72.035,45.222,138.138
39001,1891-02-15,68.078,42.952,127.492
39001,1891-02-16,64.604,40.963,119.084
39001,1891-02-17,61.526,39.196,112.584
39001,1891-02-18,58.774,37.606,107.689
39001,1891-02-19,56.294,36.16,103.192
39001,1891-02-20,54.044,34.831,99.046
39001,1891-02-21,51.988,33.599,95.208
39001,1891-02-22,50.099,32.449,91.644
39001,1891-02-23,48.353,31.369,88.505
39001,1891-02-24,46.732,30.349,85.944
39001,1891-02-25,45.219,29.2,83.497
39001,1891-02-26,43.804,28.054,81.157
39001,1891-02-27,42.475,26.976,78.917
39001,1891-02-28,41.223,25.96,76.77
39001,1891-03-01,40.039,25.001,74.712
39001,1891-03-02,38.914,24.096,72.738
39001,1891-03-03,37.843,23.238,70.841
39001,1891-03-04,36.823,22.423,69.018
39001,1891-03-05,35.848,21.649,67.264
39001,1891-03-06,34.915,20.913,65.577
39001,1891-03-07,34.381,20.585,93.038
39001,1891-03-08,35.244,20.514,87.21
39001,1891-03-09,38.565,21.487,116.076
39001,1891-03-10,46.31,24.274,128.337
39001,1891-03-11,61.87,29.158,169.175
39001,1891-03-12,71.742,30.983,161.281
