STATION,LOCAL_NUM,RIVER,LOCATION,EASTING,NORTHING,NGR,SQ_KM,HA,OPERATOR,OPENED,CLOSED,ALTITUDE,TYPE,BF_FLOW,SF_FLOW,SENSITIVITY,NHMP,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,FAR,FEH_POOLING,FEH_QMED,FEH_NEITHER,START_YEAR,END_YEAR,GDF_COMPLETENESS,MEAN_FLOW,MIN_FLOW,MAX_FLOW,Q95,Q70,Q50,Q10,BASE_FLOW_INDEX,SAAR6190,SAAR4170,PROPWET,SMDBAR,BFIHOST,FARL,HIGH_PERM_BED,MOD_PERM_BED,LOW_PERM_BED,HIGH_PERM_SUP,LOW_PERM_SUP,MIXED_PERM_SUP,MIN_ALT,ALT_10_PERCENTILE,ALT_50_PERCENTILE,ALT_90_PERCENTILE,MAX_ALT,WOODLAND,ARABLE_HORT,GRASS,MOUNTAIN_HEATH_BOG,URBAN,DPSBAR,QMED
72008,720107,Wyre,Garstang,348800,444700,SD488447,114,72,EA-CL,01/01/1967,,10.9,FV,117,3,16,NO,YES,NO,PG,NO,NO,NO,1967,2014,98.41,3.512,0.031,111.3,0.384,0.925,1.59,8.4,0.31,1390,1418,0.6,,0.33,0.909,5.681425,94.318575,0,0,18.077581,61.749335,10.9,46.6,184.2,410.1,560.5,7.622681,1.942561,58.272425,28.68465,0.008,98,
72009,724326,Wenning,Wennington,361500,470100,SD615427,142,72,EA-CL,01/01/1970,,39.4,FV,,33.7,16,NO,YES,YES,G,NO,YES,NO,1976,2014,100,4.406,0.121,163.2,0.287,0.864,1.74,10.84,0.27,1309,1318,0.6,,0.37,0.996,0,92.311746,4.29424,0,10.033809,68.164999,39.4,115.3,201.8,386.9,720.2,4.608152,1.874478,77.475774,10.32665,0.006,91.3,108.889
72011,723423,Rawthey,Brigflatts,363900,491100,SD639459,200,72,EA-CL,01/01/1968,,84.1,VA,173.7,,10,NO,YES,YES,N,NO,YES,NO,1968,2014,87.47,9.286,0.194,383.5,0.557,1.804,3.666,23.42,0.23,1753,1705,0.71,,0.348,0.999,0,74.021878,25.978122,1.069675,14.050793,37.537394,84.1,177.3,367.7,555.1,733.3,5.20616,0.230497,84.90303,7.60643,0.002,180.4,287.177
72014,724836,Conder,Galgate,348200,455400,SD481605,28.5,72,EA-CL,01/01/1966,,16.6,FV,,25.1,25,NO,YES,YES,N,YES,YES,NO,1976,2014,95.83,0.682,0.02,15.92,0.065,0.18,0.335,1.621,0.35,1181,1278,0.6,,0.443,0.975,0,100,0,0,6.731279,75.867057,16.6,44.5,104.2,273,465.7,7.708889,4.483916,74.84699,8.407346,0.006,93.4,17.703
72015,722242,Lune,Lunes Bridge,361200,502900,NY612100,141.5,72,EA-CL,01/01/1979,,165,MIS,186,,9,NO,YES,YES,N,YES,YES,NO,1979,2014,98.06,6.504,0.178,239,0.556,1.626,3.106,15.7,0.32,1632,1598,0.71,,0.44,0.993,0,46.412536,53.587464,0,10.235915,54.595777,165,219.9,292.4,453.6,675.6,2.62724,1.343795,83.46254,9.62314,0.002,146,201.714
72016,720102,Wyre,Scorton Weir,350100,450000,SD501204,88.8,72,EA-CL,01/01/1967,,31.6,MIS,155,,,NO,YES,YES,P,NO,YES,NO,1967,2014,90.03,3.431,0,450,0.178,0.889,1.546,7.52,0.3,1470,1691,0.6,,0.316,0.942,0,100,0,0,22.085866,59.264044,31.6,97.7,211.6,435.9,560.5,5.721916,1.5427,56.875333,34.40824,0,102.4,90.803
72807,724528,Wenning,Hornby,358600,468400,SD586684,232,72,EA-CL,01/01/1940,,22.7,MIS,385,,,NO,NO,YES,,NO,YES,NO,,,,,,,,,,,,1388,1691,0.6,,0.35,0.997,,,,,,,22.7,,,,,,,,,,98,216.093
72817,720212,New Mill Brook,Hollowforth Hall,350300,436400,SD503463,31.9,72,EA-CL,01/01/1972,,16,FVVA,,,,NO,NO,YES,,NO,YES,NO,,,,,,,,,,,,1100,1082,,,,,,,,,,,16,,,,,,,,,,,20.913
73002,737537,Crake,Low Nibthwaite,329500,488200,SD294588,73,73,EA-CL,01/01/1963,,38.6,FVVA,37,,17.1,NO,YES,YES,SP,YES,YES,NO,1963,2014,99.91,4.156,0.07,43.1,0.617,1.86,2.99,8.934,0.57,2147,2143,0.71,,0.363,0.73,0,0,100,0,0,6.492484,38.6,49.2,169.9,442.6,800,14.25881,3.14804,71.835639,2.79826,0.001,197.6,19.56
73003,,Kent,Burneside,350700,495500,SD507395,73.6,73,EA-CL,01/01/1974,30/06/2000,51,VA,91,,12.5,NO,YES,YES,I,NO,YES,NO,1981,1999,91.78,3.735,0.07,77.9,0.274,0.959,1.951,8.998,0.38,1896,1886,0.71,,0.464,0.945,0,0.133171,99.866829,0.056325,6.273812,19.785563,51,108.4,232.5,459.6,812.2,5.503533,6.470193,82.55979,4.014823,0.003,173.3,65.834
73005,730511,Kent,Sedgwick,350900,487400,SD508778,209,73,EA-CL,01/01/1968,,18.9,CBVA,,85,,NO,YES,YES,IN,YES,YES,NO,1968,2014,100,9.274,0.429,240,1.18,3.037,5.19,21.75,0.41,1732,1769,0.71,2.1,0.514,0.976,0,14.990857,85.009143,4.168309,4.097618,34.431904,18.9,74.3,204.5,430.6,812.2,5.961571,5.560994,80.75688,3.767798,0.018,153.5,155.846
73006,735226,Cunsey Beck,Eel House Bridge,337000,494100,SD369569,18.7,73,EA-CL,01/01/1968,,63.4,VA,8,,,NO,YES,NO,N,NO,YES,NO,1976,2014,84.25,0.921,0,14.96,0.044,0.261,0.498,2.263,0.42,1900,1753,0.71,,0.448,0.727,0,0,100,0,0,10.282104,63.4,68.4,139.8,220,305.8,35.5973,6.60541,49.98007,2.636833,0.002,119.2,7.865
73008,731013,Bela,Beetham,349600,480600,SD496208,131,73,EA-CL,01/01/1969,,10.9,FV,,22.2,13.8,NO,YES,YES,SG,YES,YES,NO,1969,2014,97.19,3.605,0.294,47.61,0.53,1.167,2.131,8.411,0.49,1291,1301,0.68,3,0.529,0.952,0,42.079647,57.920353,1.009682,0,77.314034,10.9,33.9,134.5,234.7,333.1,5.400161,6.21028,82.46763,0.376618,0.01,88,36.936
73009,730203,Sprint,Sprint Mill,351500,496100,SD514779,34.6,73,EA-CL,01/01/1969,,57.5,FV,,8.6,24.5,NO,YES,YES,N,YES,YES,NO,1976,2014,99.4,1.986,0.06,49.6,0.176,0.548,1.04,4.78,0.32,2018,2099,0.71,,0.453,0.997,0,1.845779,98.154221,0,8.349212,27.51768,57.5,146.9,314.3,577.1,775.8,6.379308,2.341958,80.0143,10.193961,0,224.3,43.072
