STATION,LOCAL_NUM,RIVER,LOCATION,EASTING,NORTHING,NGR,SQ_KM,HA,OPERATOR,OPENED,CLOSED,ALTITUDE,TYPE,BF_FLOW,SF_FLOW,SENSITIVITY,NHMP,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,FAR,FEH_POOLING,FEH_QMED,FEH_NEITHER,START_YEAR,END_YEAR,GDF_COMPLETENESS,MEAN_FLOW,MIN_FLOW,MAX_FLOW,Q95,Q70,Q50,Q10,BASE_FLOW_INDEX,SAAR6190,SAAR4170,PROPWET,SMDBAR,BFIHOST,FARL,HIGH_PERM_BED,MOD_PERM_BED,LOW_PERM_BED,HIGH_PERM_SUP,LOW_PERM_SUP,MIXED_PERM_SUP,MIN_ALT,ALT_10_PERCENTILE,ALT_50_PERCENTILE,ALT_90_PERCENTILE,MAX_ALT,WOODLAND,ARABLE_HORT,GRASS,MOUNTAIN_HEATH_BOG,URBAN,DPSBAR,QMED
1001,234324,Wick,Tarroul,326200,954900,ND262025,161.9,1,SEPA-NW,01/11/1995,,13,VA,31.2,,20,NO,YES,NO,,NO,NO,NO,1995,2014,100,3.037,0.028,48.11,0.145,0.66,1.654,7.514,0.39,934,922,0.56,,0.3,0.86,0,100,0,0,47.822553,48.015198,13,30.4,78.6,135,241.4,9.77012,5.81089,41.505648,39.26531,0.001,30,
2001,234253,Helmsdale,Kilphedir,299800,918200,NC998391,551.4,2,SEPA-NW,01/01/1974,,17,VA,103.6,,9.1,NO,YES,YES,R,YES,YES,NO,1975,2014,100,13.264,0.814,187.6,3.081,4.72,7.952,29.56,0.47,1117,1103,0.65,,0.324,0.858,0,1.188715,98.811285,0,61.742564,30.699993,17,127.4,200.3,323,689.3,5.378477,0.028051,7.110374,84.271706,0,96.8,169.704
2002,234174,Brora,Bruachrobie,289200,903900,NC891560,434.4,2,SEPA-NW,01/05/1993,,9,VA,39.3,,11,NO,YES,YES,,YES,YES,NO,1993,2014,100,12.064,0.36,229.7,1.001,3.14,6.252,30.03,0.3,1217,1189,0.59,,0.351,0.845,0,9.86996,88.836696,0,58.347931,34.234039,9,139.9,239.9,415.5,710.8,3.918201,0.00885,7.478271,86.712002,0,97.3,148.32
3001,,Shin,Lairg,258100,906200,NC581062,494.6,3,NSHE,01/01/1950,01/01/1957,81.7,VA,,,5.7,NO,YES,NO,,NO,NO,NO,1953,1957,100,15.2,0.481,116.9,2.18,5.975,10.7,33.7,0.55,1588,1580,0.78,,0.37,0.671,0,0,100,0,38.52183,44.219447,81.7,106.2,219.2,391.6,869.5,16.60279,0,12.595242,62.81778,0,99,
3002,234305,Carron,Sgodachail,249100,892200,NH491369,241.1,3,SEPA-NW,01/01/1973,,70.7,VA,161.6,,14,NO,YES,YES,H,YES,YES,NO,1974,2014,100,9.078,0.353,203.3,0.976,2.7,4.511,21.14,0.3,1785,2033,0.81,,0.436,0.974,0,0,100,0,29.354699,44.490643,70.7,215.6,427.9,679.9,952.4,4.74481,0,9.209906,82.9609,0,218.3,190.903
3003,234209,Oykel,Easter Turnaig,240300,900100,NC403050,330.7,3,SEPA-NW,01/01/1977,,15.6,VA,582.8,,14,NO,YES,YES,N,YES,YES,NO,1977,2014,100,16.309,0.321,404.9,1.074,3.854,7.952,40.81,0.22,1900,1966,0.81,2,0.359,0.915,0,0,99.989938,0,28.566474,54.559394,15.6,154.5,272.9,475.3,1005.8,8.545285,0,26.315008,63.01312,0,148.2,342.057
3004,234300,Cassley,Rosehall,247200,902100,NC471760,187.5,3,SEPA-NW,01/01/1979,,3.3,VA,51,,6,NO,YES,NO,H,NO,NO,NO,1979,2014,100,7.209,0.168,193.5,0.73,1.797,3.055,17.49,0.22,2250,2075,0.82,,0.39,0.902,0,0,100,0,30.605292,47.55669,3.3,123.6,287.9,482.2,1059.7,3.410936,0,16.592529,78.289116,0,140,
3005,234240,Shin,Inveran,257400,897400,NH574129,575,3,SEPA-NW,01/08/1981,01/07/2011,4.3,VA,80.7,,7,NO,YES,NO,H,NO,NO,NO,1981,2011,100,4.971,1.097,132,1.686,3.054,3.43,6.407,0.59,1526,1536,0.76,,0.38,0.69,0,0,100,0,38.031415,45.701283,4.3,105.2,215.6,374.8,869.5,16.75925,0,14.554169,61.70813,0,98,
4001,234284,Conon,Moy Bridge,248100,854700,NH481295,961.8,4,SEPA-NW,01/01/1947,,10,VA,185,,6,NO,YES,NO,H,NO,NO,NO,1947,2014,91.66,50.068,0.566,920,11.12,25.49,40.94,98.54,0.57,1770,1766,0.75,,0.36,0.742,0,1.614563,98.385437,0.439229,15.083749,38.950456,10,150,353.2,632.1,1099.6,9.88677,0.584188,11.297241,74.17885,0,199,
4003,234152,Alness,Alness,265500,869600,NH654676,201,4,SEPA-NW,01/01/1973,,11.9,VA,,,9,NO,YES,YES,SR,YES,YES,NO,1974,2014,100,6.241,0.324,123.1,0.97,2.245,3.779,14.06,0.43,1373,1479,0.63,,0.384,0.908,0,17.409854,82.590146,0.268561,42.474824,31.10661,11.9,192.4,409.2,577.9,835,13.356486,1.034266,13.64316,67.64984,0,147.7,81.427
4004,234186,Blackwater,Contin,245500,856300,NH455175,336.7,4,SEPA-NW,01/01/1981,01/07/2011,19.9,VA,59.2,,11.3,NO,YES,NO,H,NO,NO,NO,1981,2011,99.99,6.025,0.747,174.5,1.443,2.109,3.228,13.15,0.4,1600,1811,0.74,,0.36,0.783,0,0.000098,99.999902,0.001674,14.574263,56.030355,19.9,188.1,382.4,689.2,1082.9,13.29334,0.255523,9.952997,72.71556,0,196,
4005,234227,Meig,Glenmeanie,228600,852800,NH286495,120.5,4,SEPA-NW,01/01/1985,,120.7,VA,103.3,,13,NO,YES,YES,N,YES,YES,NO,1986,2014,100,6.886,0.157,131.8,0.578,1.712,3.381,17.22,0.26,2145,2073,0.76,,0.389,0.918,0,0,100,0,12.244255,3.816696,120.7,225,460,703.7,1052.7,5.633974,0,9.939448,83.01097,0,289,111.347
4006,234202,Bran,Dosmucheran,220500,860200,NH204636,116.1,4,SEPA-NW,01/01/1990,,118.6,VA,80.5,,13,NO,YES,YES,N,YES,YES,NO,1989,2014,100,6.935,0.138,92.07,0.554,1.735,3.619,17.53,0.28,1781,2005,0.83,,0.333,0.814,0,0,100,0,12.877493,21.555778,118.6,171.1,327.3,558.4,913.5,2.297184,0,14.357416,80.20797,0,164.6,85.372
4007,234225,Blackwater,Garve,239500,861700,NH395386,289,4,SEPA-NW,01/10/1989,,71,VA,66,,9,NO,YES,NO,,NO,NO,NO,1989,2014,98.76,4.855,0.209,98.06,1.12,1.603,2.263,10.95,0.35,1672,1755,0.75,,0.35,0.843,0,0,100,0,14.727431,55.664219,71,249.6,402.6,709.7,1082.9,9.008268,0.248584,7.803932,79.22486,0,201,
4008,234290,Newhall Burn,Newhall Bridge,270200,865200,NH702256,41,4,SEPA-NW,01/08/1996,,8,VA,9.1,,78,NO,YES,NO,,NO,NO,NO,1996,2014,93.65,0.495,0.014,15.28,0.035,0.133,0.276,1.084,0.46,777,799,0.42,,0.67,0.997,0,100,0,0.637757,0,94.347073,8,42.4,117.8,189.1,255.2,36.54443,25.37735,25.147012,11.42165,0,51,
4009,234316,Peffery,Strathpeffer STW,249300,858700,NH492925,17.3,4,SEPA-NW,01/10/1992,,36,VA,,12,60,NO,YES,NO,,NO,NO,NO,1995,2014,93.15,0.267,0.003,5.17,0.02,0.075,0.147,0.638,0.41,1059,1072,0.74,,0.49,0.973,0,32.198968,67.801032,7.650624,15.80151,64.826311,36,83.4,206.9,399.7,753.2,59.6287,5.72687,24.087453,8.21272,0.009,152,
5001,,Beauly,Erchless,242600,840500,NH426405,849.5,5,NSHE,01/01/1950,01/01/1963,43.9,VA,240,,3.3,NO,YES,NO,H,NO,NO,NO,1953,1962,100,45.633,7.362,376.6,14.16,26.62,34.83,85.8,0.5,2153,1811,0.74,,0.4,0.782,0,0,100,0,5.300445,34.292096,43.9,220.5,449.7,775.8,1182.5,8.3675,0,11.365856,75.7402,0,264,
5002,234321,Farrar,Struy,239000,840400,NH390344,311.3,5,SEPA-NW,01/10/1986,01/07/2011,51.2,VA,152.1,,6,NO,YES,NO,H,NO,NO,NO,1986,2011,100,19.374,4.013,148.3,6.266,8.211,13.46,41.13,0.59,1148,2127,0.74,,0.39,0.769,0,0,100,0,5.375599,23.861551,51.2,225.4,457.6,747,1151.8,1.328512,0,8.612175,84.17736,0,266,
5003,234251,Glass,Kerrow Wood,235400,832100,NH354493,481.8,5,SEPA-NW,01/01/1989,,52.9,VA,124.8,,4,NO,YES,NO,H,NO,NO,NO,1988,2014,100,31.822,3.928,290.4,8.647,15.78,25.08,60.65,0.6,2249,2317,0.75,,0.4,0.772,0,0,100,0,4.768833,42.244533,52.9,242.1,477.3,808.9,1182.5,10.35448,0,12.986678,72.5137,0,274,
5004,234215,Glass,Fasnakyle,231500,828800,NH315262,277.5,5,SEPA-NW,01/01/1991,,80,VA,102.2,,51,NO,YES,NO,H,NO,NO,NO,1990,2014,100,4.973,0.266,160.8,1.206,1.779,2.56,10.08,0.42,2209,2395,0.74,,0.39,0.807,0,0,100,0,7.530868,43.572931,80,245.4,449.6,790.1,1182.5,12.95186,0,11.046731,72.61815,0,258,
6001,,Ness,Ness Castle Farm,263900,841000,NH639410,1792.3,6,NSHE,01/01/1935,31/12/1963,9.1,VA,,,,NO,YES,NO,H,NO,NO,NO,1935,1963,89.28,73.767,7.334,560.7,12.46,33.41,54.2,154.9,0.54,1779,1778,0.72,,0.41,0.676,0,8.631198,91.368802,1.365268,9.857696,34.880279,9.1,127.3,352.1,682.3,1109.5,16.76298,1.01297,13.227646,62.085495,0,180,
6003,,Moriston,Invermoriston,241600,816900,NH416169,391,6,NSHE,01/01/1929,01/01/1945,35.1,VA,,,9.6,NO,YES,YES,,NO,YES,NO,1929,1945,100,20.727,0.396,283.2,1.84,5.749,10.71,51,0.29,2117,2148,0.74,,0.362,0.985,0,0,100,0.471882,9.313855,38.060751,35.1,207.4,395.8,652.5,1109.5,10.84766,0.064712,8.947783,75.23751,0,209.7,312.916
6006,,Allt Bhlaraidh,Invermoriston,237700,816800,NH377168,27.5,6,NSHE,01/01/1951,01/01/1962,107,CB,,5.6,33,NO,YES,NO,,NO,NO,NO,1953,1962,100,0.88,0.003,16.68,0.057,0.244,0.453,2.172,0.29,1548,1569,0.7,,0.28,0.751,0,0,100,0,15.243628,0,107,340.1,491.9,558.2,675.9,5.136242,0,0.863952,87.49642,0,109,
6007,234287,Ness,Ness-side,264500,842700,NH645074,1839.1,6,SEPA-NW,01/01/1973,,6.9,VA,795,,4,YES,YES,NO,H,NO,NO,NO,1972,2014,100,89.899,7.863,768.8,20.18,44.81,66.58,183.2,0.6,1764,1778,0.71,,0.42,0.679,0,9.972487,90.027513,1.553301,9.759866,35.48463,6.9,124.2,348,680.7,1109.5,16.99745,1.225194,13.317228,61.561552,0,179,
6008,234277,Enrick,Mill of Tore,245000,830000,NH450442,105.9,6,SEPA-NW,01/01/1979,,109.4,VA,22.9,,25,NO,YES,YES,N,YES,YES,NO,1979,2014,100,3.28,0.001,76.93,0.091,0.688,1.477,8.464,0.3,1294,1338,0.7,,0.43,0.839,0,0,100,0,1.365492,18.299403,109.4,187.5,335.7,519,671.2,20.58122,0.481212,12.77569,64.206294,0,118.3,50.897
6009,234262,Moriston,Levishie,240200,817500,NH402181,403.1,6,SEPA-NW,01/03/1994,01/06/2011,41.7,VA,,,18,NO,YES,NO,H,NO,NO,NO,1994,2011,100,5.657,0.274,216.2,0.708,1.895,2.367,9.919,0.42,2126,2160,0.74,,0.36,0.811,0,0,100,0.476689,9.40873,38.352107,46,210.2,397.8,654,1109.5,10.54689,0.052677,8.890417,75.57033,0,209,
6011,234155,Tarff,Ardachy Bridge,238000,807500,NH379890,75.9,6,SEPA-NW,01/01/1993,,33.1,VA,,,,NO,YES,NO,,NO,NO,NO,1993,2014,99.85,3.69,0.007,85.22,0.236,0.793,1.623,9.245,0.22,1616,1730,0.72,,0.4,0.965,0,5.5911,94.4089,0,29.399234,30.293942,55,321.6,608.5,761.3,894.9,3.432686,0.363073,20.001953,73.4528,0,185,
7001,234306,Findhorn,Shenachie,282600,833500,NH825583,415.6,7,SEPA-NW,01/01/1960,,252.4,VA,265.6,,15.3,NO,YES,YES,N,YES,YES,NO,1960,2014,100,14.006,0.938,270.8,2.044,4.843,7.968,31.67,0.36,1219,1436,0.68,5.7,0.451,0.982,0,0,100,1.561501,44.475142,38.877831,252.4,339.6,558.6,760.2,935.3,7.5441,0,16.654627,74.26368,0,138.9,248.084
7002,234221,Findhorn,Forres,301900,858400,NJ018535,781.9,7,SEPA-NW,01/01/1958,,9.6,VA,151.4,,16,NO,YES,YES,N,YES,YES,NO,1958,2014,100,19.629,1.752,612,3.368,7.234,11.61,43.19,0.39,1064,1208,0.56,7.6,0.434,0.973,1.461776,0,98.538224,7.950701,34.856329,45.825779,9.6,230.7,407.9,724.6,935.3,12.53582,0.425334,14.981037,70.73968,0,117.3,319.899
7003,234307,Lossie,Sheriffmills,319400,862600,NJ194026,216,7,SEPA-NW,01/01/1963,,17.7,VA,35.7,,10.6,YES,YES,YES,P,NO,YES,NO,1963,2014,100,2.726,0.357,114.8,0.745,1.251,1.729,5.175,0.54,831,888,0.42,10.5,0.577,0.979,17.832871,0,82.167129,20.619137,10.848996,63.487357,17.7,42.1,196,325.3,521.7,40.53318,10.0052,26.281281,22.219121,0.001,79.1,45.462
7004,234218,Nairn,Firhall,288200,855100,NH882385,313,7,SEPA-NW,01/01/1979,,7.2,VA,61.5,,12,NO,YES,YES,PN,YES,YES,NO,1979,2014,100,5.554,0.466,238.2,0.883,2.065,3.295,12.14,0.45,940,1063,0.5,,0.587,0.923,0,31.208578,68.791422,14.769724,22.085245,46.214641,7.2,87.9,258.9,519.4,802.5,27.67577,5.43104,20.683816,43.09091,0.001,102.7,95.83
7005,234206,Divie,Dunphail,300500,848000,NJ005414,165,7,SEPA-NW,01/01/1982,,117.3,VA,50.4,,12,NO,YES,YES,N,YES,YES,NO,1977,2014,91.79,2.906,0.318,92.06,0.531,1.049,1.636,6.062,0.41,870,923,0.48,,0.353,0.925,0,0,100,13.929495,20.742268,52.94156,117.3,226.9,312.5,404.6,544.4,11.49105,0.275615,10.883788,75.54593,0,77.4,67.179
7006,234326,Lossie,Torwinny,313400,848900,NJ134424,20,7,SEPA-NW,01/01/1986,,198.5,VA,,,15.2,NO,YES,YES,N,NO,NO,YES,1987,2014,100,0.376,0.073,17.53,0.108,0.161,0.218,0.723,0.46,957,962,0.42,,0.296,0.956,0,0,100,2.213438,0,86.354701,198.5,269.9,344.4,428.3,521.7,56.74631,0,17.299116,25.73647,0,86.6,9.879
7007,234281,Black Burn,Monaughty,315500,858200,NJ154745,44,7,SEPA-NW,01/04/1990,26/09/2012,49,VA,,,11,NO,YES,NO,P,NO,NO,NO,1990,2012,86.57,0.477,0.06,12.92,0.101,0.22,0.321,0.873,0.58,806,873,0.42,,0.66,0.983,3.182148,0,96.817852,39.151827,0.69108,50.087094,49,80.4,163.4,266.3,370.4,48.17377,12.75207,27.33318,11.00824,0.001,108,
7008,206846,Nairn,Balnafoich,268600,835200,NH685633,128.1,7,SEPA-NW,01/06/1993,,175,VA,33.7,,19,NO,YES,NO,,NO,NO,NO,1993,2014,99.59,2.844,0.097,106.2,0.304,0.741,1.369,6.284,0.35,1035,1203,0.68,,0.53,0.845,0,20.808801,79.191199,1.922283,31.376749,37.112609,175,216.4,337.6,600.4,802.5,21.72886,0.993441,16.952916,55.13699,0,130,
7009,234331,Mosset Burn,Wardend Bridge,303900,855800,NJ039305,28.3,7,SEPA-NW,01/01/1998,,45,VA,24.3,,85,NO,YES,NO,N,NO,NO,NO,1998,2014,93.73,0.342,0.004,11.83,0.056,0.13,0.206,0.67,0.48,804,851,0.42,,0.61,0.998,19.13781,0,80.86219,49.349863,4.585122,44.376768,45,91.9,189.9,292.3,368,50.07066,5.38081,21.691085,22.41559,0,61,
8001,,Spey,Aberlour,327800,844000,NJ277854,2654.7,8,SEPA-NW,01/01/1938,01/01/1974,78.6,VA,390,,3.5,NO,YES,YES,H,YES,YES,NO,1938,1974,97.24,56.354,7.981,882.7,16.81,31.41,42.45,106.4,0.58,1134,1196,0.65,,0.484,0.956,0,1.795971,97.099631,3.875681,13.425773,51.517018,78.6,238.5,435.9,758.5,1303,16.45041,0.908962,14.873261,66.07822,0.001,157.5,415.619
8002,234257,Spey,Kinrara,288100,808200,NH880990,1011.7,8,SEPA-NW,01/01/1951,,210.4,VA,161.2,,5,NO,YES,YES,H,YES,YES,NO,1951,2014,100,22.697,2.425,285.8,6.009,11.18,15.67,45.28,0.55,1317,1341,0.71,,0.452,0.927,0,0,100,1.379207,16.578036,45.748714,210.4,284.4,514.6,810.2,1262,10.30187,0.290651,10.534043,76.47342,0.001,175.2,145.5
8003,,Spey,Ruthven Bridge,275900,799600,NN759996,533.8,8,SEPA-NW,01/01/1951,01/01/1973,221,VA,100,,6.5,NO,YES,NO,H,NO,NO,YES,1951,1973,100,9.359,1.294,167.3,2.723,4.698,6.255,18.23,0.5,1375,1386,0.73,,0.42,0.954,0,0,100,0,10.894751,51.626158,221,293.5,476.4,789.4,1047.2,8.12216,0.141851,11.981265,76.85761,0.001,178,
8004,234198,Avon,Delnashaugh,318500,835200,NJ185003,542.8,8,SEPA-NW,01/01/1952,,150.2,VA,364.5,,4,NO,YES,YES,N,YES,YES,NO,1952,2014,100,14.732,1.925,259.4,4.14,7.84,10.61,27.83,0.55,1111,1236,0.63,,0.451,0.989,0,8.605561,85.990622,0.083368,15.698474,43.051769,150.2,310.2,491.6,764.5,1303,11.73403,0.228873,16.946786,69.99313,0,178.2,225.296
8005,234168,Spey,Boat of Garten,294700,819200,NH946911,1267.8,8,SEPA-NW,01/01/1951,,197.3,VA,402,,9,YES,YES,YES,H,YES,YES,NO,1951,2014,100,29.327,3.842,348.1,8.495,15.93,21.57,56.32,0.59,1274,1305,0.7,,0.47,0.917,0,0,100,4.331478,14.142566,44.909644,197.3,264.4,496.5,812.5,1291.9,13.945,0.419336,10.154292,73.02354,0.001,174.3,165.854
8006,234167,Spey,Boat o Brig,331900,851800,NJ318505,2861.2,8,SEPA-NW,01/01/1952,,43.1,VA,730.8,,3,YES,YES,YES,H,YES,YES,NO,1952,2014,100,65.636,9.311,1089,19.32,36.33,50.38,124.2,0.6,1120,1184,0.63,,0.485,0.959,0,2.14528,96.422571,3.799685,12.524043,53.222713,43.1,228.9,419.9,748.1,1303,18.05628,1.287073,15.636295,63.27302,0.001,156.9,478.528
8007,234248,Spey,Invertruim,268800,796400,NN687619,400.4,8,SEPA-NW,01/01/1952,,242.5,VA,189,,8,NO,YES,YES,H,NO,YES,NO,1952,2014,92.98,6.02,0.42,200.4,1.639,2.947,3.793,10.25,0.51,1435,1444,0.75,,0.411,0.945,0,0,100,0,8.227883,49.08225,242.5,308,481.5,786.7,1047.2,9.39951,0.108942,11.032394,76.35214,0,181.3,101.336
8008,234327,Tromie,Tromie Bridge,278900,799600,NN789269,130.3,8,SEPA-NW,01/10/1952,01/10/2010,240,VA,151.7,,5,NO,YES,YES,H,YES,YES,NO,1952,2009,100,2.517,0.354,96.18,1.203,1.469,1.686,3.764,0.61,1437,1365,0.72,,0.447,0.898,0,0,100,0,40.93444,22.116561,240,411.4,624.5,820.2,947,3.39144,0,4.663233,88.74204,0,212,50.652
8009,234163,Dulnain,Balnaan Bridge,297700,824800,NH977222,272.2,8,SEPA-NW,01/01/1952,,223.7,VA,100,,11,NO,YES,YES,N,YES,YES,NO,1952,2014,96.78,6.04,0.595,162.4,1.093,2.395,3.708,12.99,0.44,1014,1061,0.68,5.8,0.498,0.994,0,0,100,1.404261,23.099827,57.567795,223.7,273.9,447.3,671.9,875.4,14.50481,0.570348,13.002277,71.48719,0.001,117.9,94.451
8010,234229,Spey,Grantown,303300,826800,NJ032822,1748.8,8,SEPA-NW,01/01/1953,,192.5,VA,520,,5,NO,YES,YES,H,YES,YES,NO,1953,2014,100,38.085,6.008,480.4,10.69,20.3,28.51,73.86,0.58,1196,1236,0.69,,0.484,0.938,0,0.056402,99.943598,5.217973,14.696466,48.644484,192.5,253.1,463.1,781.6,1291.9,15.74724,0.601559,11.775864,69.89659,0.001,158.7,227.227
8011,234279,Livet,Minmore,320200,829000,NJ201602,104,8,SEPA-NW,01/01/1981,,215.1,VA,45,,9,NO,YES,YES,N,YES,YES,NO,1978,2014,97.59,2.273,0.515,36.19,0.773,1.253,1.671,4.112,0.63,1001,1143,0.63,,0.449,1,0,3.85199,96.121833,0,8.543324,62.08506,215.1,306,406.6,652.2,803.4,14.77306,0.055885,28.85853,54.51453,0,168.3,31.67
8013,234217,Feshie,Feshie Bridge,285000,804700,NH849860,231,8,SEPA-NW,,,231.9,VA,75,,8,NO,YES,NO,N,NO,NO,NO,1992,2014,95.42,7.663,0.876,121.5,1.832,3.539,5.189,15.42,0.49,1286,1351,0.7,,0.48,0.993,0,0,100,1.237303,18.514282,38.68543,231.9,326.5,618.1,911.4,1262,12.595917,0,3.484978,83.065525,0,181,
8015,234158,Fiddich,Auchindoun,335500,840000,NJ355039,44.5,8,SEPA-NW,01/06/1991,01/11/2010,177.5,VA,,,10.6,NO,YES,NO,N,NO,NO,NO,1991,2010,94.38,1.008,0.207,35.37,0.294,0.492,0.661,1.789,0.55,1034,1227,0.61,,0.39,0.998,0,0,100,0,0,61.253847,180,261,388.4,561.2,775.9,36.39062,1.077353,14.108195,47.7057,0,191,
8016,,Conglass Water,Auchriachan,317600,819100,NJ175519,40.8,8,SEPA-NW,01/07/1992,31/08/1995,335,VA,,,12.4,NO,YES,NO,N,NO,NO,NO,1992,1995,97.6,0.807,0.192,9.367,0.239,0.41,0.545,1.524,0.56,901,1169,0.63,,0.32,1,0,33.774826,66.225174,0,31.744988,42.454494,335,386,501.8,654.3,793.5,13.24335,0,20.945114,65.37588,0,157,
8017,,Burn of Carron,Dailuaine,323700,841500,NJ236804,15.2,8,SEPA-NW,01/01/1991,11/04/1994,100,VA,,,17.5,NO,YES,NO,EI,NO,NO,NO,1991,1994,98.4,0.26,0.028,4.798,0.063,0.108,0.155,0.53,0.43,902,891,0.56,,0.52,0.979,0,0,100.000001,0,0,81.730212,100,189,269,473.3,735.1,24.27981,4.93828,20.79771,48.6071,0,125,
8018,234325,Avon,Tomintoul,316200,817500,NJ161511,185,8,SEPA-NW,01/01/1993,31/10/2003,307.1,VA,,,7,NO,YES,NO,N,NO,NO,NO,1993,2003,95.95,7.268,1.169,129.2,2.097,3.978,5.645,13.21,0.53,1336,1434,0.63,,0.45,0.973,0,3.405695,88.395659,0.205146,22.692768,17.558807,308,477.5,659.9,960.9,1303,1.993755,0,4.095547,92.77762,0,207,
8021,234220,Nethy,Forest Lodge,302200,816000,NJ022321,38.8,8,SEPA-NW,14/03/1996,31/07/2008,291,VA,,,12,NO,YES,NO,,NO,NO,NO,1996,2008,82,1.285,0.244,37.95,0.394,0.702,0.976,2.166,0.62,1257,1369,0.63,,0.43,0.986,0,0,100,6.150787,0.327566,49.973704,281,364.4,532.9,914.5,1232.7,10.369547,0,2.43108,86.8996,0,227,
9001,234161,Deveron,Avochie,353200,846400,NJ532174,441.6,9,SEPA-NW,01/01/1959,,81.8,VA,250,,11,YES,YES,YES,N,YES,YES,NO,1959,2014,100,8.869,1.295,176.1,2.301,4.246,6.173,16.7,0.59,988,1078,0.53,,0.505,0.998,0,6.643125,93.356875,3.908423,9.307842,59.539636,81.8,166.1,327.3,500.2,754.1,22.89703,11.84812,30.793374,33.65037,0.002,124.5,129.252
9002,234286,Deveron,Muiresk,370600,849800,NJ705514,954.9,9,SEPA-NW,01/01/1960,,25.3,VA,340,,9,YES,YES,YES,N,YES,YES,NO,1960,2014,100,16.997,2.063,387.7,3.762,7.54,11.53,33.59,0.57,928,994,0.46,,0.511,0.997,0,3.073468,94.65182,2.881862,6.644365,73.12657,25.3,113.9,209,428.5,754.1,20.97705,23.8354,34.74709,19.25143,0.002,100.9,249.202
9003,234228,Isla,Grange,349400,850600,NJ493505,176.1,9,SEPA-NW,01/01/1960,,91.7,VA,50,,8.4,NO,YES,YES,N,YES,YES,NO,1969,2014,97.77,2.825,0.28,80.45,0.603,1.181,1.736,5.538,0.52,901,958,0.42,,0.474,0.994,0,0,89.207726,0,9.039217,82.014777,91.7,135.3,200.8,291,416.1,30.59364,17.92838,38.072305,10.63591,0.005,84.6,49.309
9004,234298,Bogie,Redcraig,351900,837400,NJ519343,179,9,SEPA-NW,01/01/1980,,120,VA,50,,12,NO,YES,YES,N,YES,YES,NO,1980,2014,100,3.251,0.659,55.33,0.939,1.716,2.453,6.105,0.7,955,1046,0.53,,0.567,0.998,0,12.914173,87.085826,4.283421,2.804611,60.440713,120,179.6,290.1,426.2,695.7,27.20909,17.34762,34.512953,20.48078,0.001,132,31.623
9005,234176,Allt Deveron,Cabrach,337800,829100,NJ378392,67,9,SEPA-NW,01/01/1948,,288,CB,18,,7,NO,YES,NO,N,NO,NO,NO,1948,2014,98.47,1.595,0.248,37.72,0.448,0.73,0.984,3.104,0.49,1073,1179,0.59,,0.4,1,0,8.810319,91.189681,0,18.601247,45.499227,288,339.4,436.5,550.5,720.8,10.03738,0.0151,22.00366,67.49847,0,117,
9006,234192,Deskford Burn,Cullen,350400,866700,NJ504186,46.5,9,SEPA-NW,01/12/1989,,15,VA,,,20.5,NO,YES,NO,I,NO,NO,NO,1989,2014,67.63,0.554,0.037,26.42,0.084,0.196,0.31,1.113,0.48,823,828,0.43,,0.55,0.996,0,23.812478,75.527123,14.383524,1.453366,79.807595,15,49.7,144,228,318.5,40.51133,33.25008,23.28303,2.567509,0,78,
9007,,Forgue Burn,Inverkeithny,362700,847000,NJ627154,88.3,9,SEPA-NW,01/04/1990,31/08/1995,51,VA,,,15.5,NO,YES,NO,N,NO,NO,NO,1990,1995,95.3,0.941,0.116,11.19,0.182,0.431,0.649,1.896,0.67,873,883,0.45,,0.59,0.999,0,0,100,3.218409,0,82.225286,51,102.6,154.9,230.1,343.3,9.92764,53.68054,33.434931,2.475502,0.001,78,
9008,234303,Burn of Boyne,Scotsmill,360800,865100,NJ607565,53,9,SEPA-NW,21/12/1999,31/07/2011,31,VA,,,,NO,YES,NO,,NO,NO,NO,1999,2011,94.99,0.792,0.04,37.4,0.094,0.214,0.369,1.464,0.34,826,848,0.43,,0.45,0.996,0,0,100,4.212891,1.484398,93.012504,29.6,58.7,118.6,203.7,425.9,17.42882,46.59864,28.391829,6.58444,0.002,53,
9009,234329,Idoch Water,Turriff,372500,849400,NJ724714,95,9,SEPA-NW,01/01/1993,31/07/2011,34.1,VA,,,13,NO,YES,NO,,NO,NO,NO,1993,2011,92.01,1.72,0.314,66.12,0.44,0.785,1.181,3.082,0.64,833,908,0.41,,0.64,0.989,0,75.857486,24.142514,9.248873,4.882718,81.954122,32,68.7,115.2,162.1,225.8,9.71828,51.72843,32.5427,5.094538,0.002,62,
10001,,Ythan,Ardlethen,392400,830900,NJ924363,448.1,10,SEPA-NE,01/01/1965,31/12/1983,7.5,VA,,,11.3,NO,YES,YES,,YES,YES,NO,1965,1982,100,6.751,0.87,57.13,1.588,3.361,4.953,13.59,0.72,830,862,0.42,,0.614,0.992,0,7.55236,92.44764,3.724185,0.196726,92.081695,7.5,58,109.2,163.8,380.4,7.33422,55.87922,33.531898,2.035702,0.001,57.2,50.18
